
functions called:
filename: <decorator-gen-0>, modulename: <decorator-gen-0>, funcname: <module>
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _NamespacePath.__iter__
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _NamespacePath._find_parent_path_names
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _NamespacePath._get_parent_path
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _NamespacePath._recalculate
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _check_name_wrapper
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _classify_pyc
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _compile_bytecode
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _get_cached
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _get_spec
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _path_hooks
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _path_importer_cache
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _path_is_mode_type
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _path_isabs
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _path_isdir
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _path_isfile
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _path_join
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _path_split
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _path_stat
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _relax_case
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _unpack_uint32
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: _validate_timestamp_pyc
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: cache_from_source
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: find_spec
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: get_filename
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: get_resource_reader
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: path_hook_for_FileFinder
filename: <frozen importlib._bootstrap_external>, modulename: <frozen importlib, funcname: spec_from_file_location
filename: <frozen zipimport>, modulename: <frozen zipimport>, funcname: zipimporter.__init__
filename: <string>, modulename: <string>, funcname: <lambda>
filename: <string>, modulename: <string>, funcname: <module>
filename: <string>, modulename: <string>, funcname: Binding.__init__
filename: <string>, modulename: <string>, funcname: CDistMetricWrapper.__init__
filename: <string>, modulename: <string>, funcname: EvaluationPolicy.__init__
filename: <string>, modulename: <string>, funcname: MetricInfo.__init__
filename: <string>, modulename: <string>, funcname: SelectivePolicy.__init__
filename: <string>, modulename: <string>, funcname: Token.__init__
filename: <string>, modulename: <string>, funcname: __create_fn__
filename: <string>, modulename: <string>, funcname: com_error
filename: <string>, modulename: <string>, funcname: error
filename: <string>, modulename: <string>, funcname: error.__init__
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\__init__.py, modulename: __init__, funcname: <module>
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\_adapters.py, modulename: _adapters, funcname: <module>
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\_adapters.py, modulename: _adapters, funcname: ChildPath
